date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
25/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
26/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
29/02/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
01/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
02/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
03/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
04/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
07/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
08/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
09/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
10/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
11/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
14/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
15/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
16/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
17/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
18/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
21/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
22/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
